"COM
CODE",COURSENO,COURSETITLE,CREDIT L P U,SEC,STAT,INSTRUCTOR IN CHARGE/Instructor,DAYS/ H,ROOM,COMPRE DATE
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,1,P,"Om Prakash Chouhan,Priya Sharma",M 2 3,C103,TBA
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,2,P,"Judith Maria Braganca,Ankush Ashok Saddhe",M 4 5,C103,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,3,P,"Laxminarayan Rawat, Nilesh Lakshman Dahibhate",M 7 8,C103,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,4,P,"Makhan Kumar,Mate Nayan Anand",T 2 3,C103,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,5,P,"ANASUYA GANGULY,Merina Dhara",T 4 5,C103,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,6,P,"Rajesh Mehrotra ,Mansi Baveja",T 7 8,C103,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,7,P,"Anant Yadav,Ram Chavan",W 2 3,C103,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,8,P,"Angela Samanta,Pooja Kotharkar",W 7 8,C103,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,9,P,"Nupur Rajeev Kumar,Ravi Kiran K",TH 2 3,C103,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,10,P,"Raviprasad Aduri ,Sneha Lata",TH 7 8,C103,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,11,P,"Swetha Ramesh,Zantye Pranjita Ganesh",F 2 3,C103,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,12,P,"Shameer Ahmed B,Rehan Ahmed Deshmukh",F 4 5,C103,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,13,P,"Starlaine Chrizelle Mascarenhas,Vijaya",F 7 8,C103,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,14,P,"Zakane Reshma Nanasaheb,Rehan Ahmed Deshmukh",S 2 3,C103,
1001,BIO F110,BIOLOGY LABORATORY,0 2 1,15,P,"Dibakar Chakrabarty,Rakesh Manuka",S 4 5,C103,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,1,L,RAVIPRASAD ADURI/ Malabika Biswas/ Vijayashree Nayak,M W F 5,LT1,01/12/18 (FN)
1002,BIO F111,GENERAL BIOLOGY,3 0 3,1,T,Arnab Banerjee,W 1,C401,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,2,L,Raviprasad Aduri/ Malabika Biswas/ Vijayashree Nayak,M W F 5,LT1,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,2,T,Indrani Talukdar,M 7,C401,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,3,L,Raviprasad Aduri/ Malabika Biswas/ Vijayashree Nayak,M W F 5,LT1,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,3,T,Sandhya Mehrotra,F 1,C401,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,4,L,Raviprasad Aduri/ Malabika Biswas/ Vijayashree Nayak,M W F 9,LT1,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,4,T,Arnab Banerjee,T 7,C405,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,5,L,Raviprasad Aduri/ Malabika Biswas/ Vijayashree Nayak,M W F 9,LT1,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,5,T,Meenal Kowshik,W 1,C405,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,6,L,Raviprasad Aduri/ Malabika Biswas/ Vijayashree Nayak,M W F 9,LT1,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,6,T,Sukanta Mondal,F 1,A602,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,7,L,Raviprasad Aduri/ Malabika Biswas/ Vijayashree Nayak,T TH S 3,LT1,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,7,T,Indrani Talukdar,W 7,C405,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,8,L,Raviprasad Aduri/ Malabika Biswas/ Vijayashree Nayak,T TH S 3,LT1,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,8,T,Meenal Kowshik,F 1,C405,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,9,L,Raviprasad Aduri/ Malabika Biswas/ Vijayashree Nayak,T TH S 3,LT1,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,9,T,Sandhya Mehrotra,TH 8,C307,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,10,L,Raviprasad Aduri/ Malabika Biswas/ Vijayashree Nayak,T TH S 3,LT1,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,10,T,Sukanta Mondal,W 1,A601,
1002,BIO F111,GENERAL BIOLOGY,3 0 3,1,I,"Ansie Martin, Anumeha Vats , Avijit Das,B Gautam Kumar,Bibhudutta Mishra,Chitra Ramchandran Nair ,Divya Gupta , Gautam Krishnan , Guruprasad V Talekar ,Jiss Maria Louis , Joseph Roque Dollrich Fernandes",,,
1112,BIO F211,BIOLOGICAL CHEMISTRY,3 0 3,1,L,RAJESH MEHROTRA,T TH S 3,C303,12/12/18 (FN)
1112,BIO F211,BIOLOGICAL CHEMISTRY,3 0 3,1,T,Rajesh Mehrotra,S 1,C303,
1114,BIO F212,MICROBIOLOGY,3 1 4,1,L,JUDITH MARIA BRAGANCA/ Vijayashree Nayak,T TH S 4,C303,05/12/18 (FN)
1114,BIO F212,MICROBIOLOGY,3 1 4,1,P,"Judith Maria Braganca,Anumeha Vats,Laximinarayan Rawat, NileshLakshman Dahibhate",T 7 8 9,,
