num,title,credits
BIO F110,BIOLOGY LABORATORY,1
BIO F111,GENERAL BIOLOGY,3
BIO F211,BIOLOGICAL CHEMISTRY,3
BIO F212,MICROBIOLOGY,4
BIO F213,CELL BIOLOGY,3
BIO F214,INTEGRATED BIOLOGY,3
BIO F216,"WATER,SANITATION & SOLIDWASTE MGMT",3
BIO F217,"LABORATORY FOR WATER,SANITATION AND SOLID WASTE MANAGEMENT",3
BIO F266,STUDY PROJECT,3
BIO F311,RECOMBINANT DNA TECH,3
BIO F312,PLANT PHYSIOLOGY,3
BIO F313,ANIMAL PHYSIOLOGY,3
BIO F352,CELL AND TISSUE CULTURE TECHNOLOGY,4
BIO F366,LABORATORY PROJECT,3
BIO F367,LABORATORY PROJECT,3
BIO F376,DESIGN PROJECT,3
BIO F377,DESIGN PROJECT,3
BIO F417,BIOMOLECULAR MODELLING,3
BIO F418,GENETIC ENG TECH,4
BIO F431,REPRODUCTIVE PHYSIOLOGY,3
BIO F491,SPECIAL PROJECTS,3
BIO G510,APPLICATION OF COMPUTERS AND STATISTICS IN BIOLOGY,5
BIO G512,MOLEC MECH OF GENE EXPR,5
BIO G514,MOLECULAR IMMUNOLOGY,5
BIO G515,STEM CELL & REGENER BIO,4
BIO G523,ADV & APPLIED MICROBIO,5
BIO G525,ENV BIOTECH &WASTE MGMT,5
BIO G526,CANCER BIOLOGY,5
BIO G532,BIOSTAT & BIOMODEL,4
BIO G542,ADVANCED CELL MOLE BIO,5
BIO G561,ADV IN RECOMB DNA TECH,5
BIO G612,HUMAN GENETICS,5
BIO G661,GENE TOXICOLOGY,4
BITS C790T,INDEPENDENT STUDY,2
BITS C791T,TEACHING PRACTICE I,1
BITS C797T,PH D SEMINAR,1
BITS C799T,PH D THESIS,10
BITS E573,STUDY IN ADV TOPIC I,5
BITS E661,RESEARCH METHODOLOGY I,5
BITS E793T,PRACTICE LECT SERIES I,1
BITS F110,ENGINEERING GRAPHICS,2
BITS F112,TECHNICAL REPORT WRITING,2
BITS F225,ENVIRONMENTAL STUDIES,3
BITS F312,NEURAL NETW & FUZZY LOGIC,3
BITS F314,GAME THEORY AND ITS APPLICATIONS,3
BITS F315,INTRODUCTION TO COGNITIVE NEUROSCIENCE,3
BITS F382,READING COURSE,3
BITS F386,QUANTUM INFORMATION AND COMPUTATION,3
BITS F417,MICRO-FLUIDICS & ITS APP,4
BITS F421T,THESIS,16
BITS F422T,THESIS,16
BITS F423T,THESIS,9
BITS F424T,THESIS,9
BITS F437,TECHNICAL COMMUNICATION,3
BITS F462,RENEWABLE ENERGY,3
BITS F463,CRYPTOGRAPHY,3
BITS F464,MACHINE LEARNING,3
BITS F467,BIOETHICS & BIOSAFETY,3
BITS G511,ADVANCED PROJECT,5
BITS G513,STUDY IN ADVANCED TOPICS,5
BITS G529,RESEARCH PROJECT I,6
BITS G539,RESEARCH PROJECT II,6
BITS G553,REAL TIME SYSTEMS,5
BITS G562T,DISSERTATION,16
BITS G619,PROFESSIONAL PRACTICE,4
BITS G649,READING COURSE,5
BITS G654,ADVANCED INSTRUMENTATION TECH,5
CHE F211,CHEMICAL PROCESS CALCULA,3
CHE F212,FLUID MECHANICS,3
CHE F213,CHEM ENGG THERMODYNAM,3
CHE F214,ENGINEERING CHEMISTRY,3
CHE F266,STUDY PROJECT,3
CHE F311,KINETICS & REACTOR DESIG,3
CHE F312,CHEMICAL ENGG LAB I,3
CHE F313,SEPARATION PROCESSES II,3
CHE F314,PROCESS DES PRINCIPLESI,3
CHE F342,PROCESS DYNAMICS AND CONTROL,3
CHE F366,LABORATORY PROJECT,3
CHE F367,LABORATORY PROJECT,3
CHE F376,DESIGN PROJECT,3
CHE F377,DESIGN PROJECT,3
CHE F414,TRANSPORT PHENOMENA,3
CHE F416,PROCESS PLANT DESIGN PROJECT I,3
CHE F421,BIO-CHEMICAL ENGINEERING,3
CHE F422,PETROLEUM REFINING TECHNOLOGY,3
CHE F433,CORROSION ENGINEERING,3
CHE F471,ADVANCE PROCESS CONTROL,3
CHE F491,SPECIAL PROJECTS,3
CHE G523,MATH METHODS IN CHEM ENG,5
CHE G528,INTRO TO NANO SCI & TECH,4
CHE G558,CHEMICAL PROCESS OPTIMIZATION,4
CHE G622,ADV CHEMICAL ENGG THERMO,5
CHEM F110,CHEMISTRY LABORATORY,1
CHEM F111,GENERAL CHEMISTRY,3
CHEM F211,PHYSICAL CHEMISTRY I,3
CHEM F212,ORGANIC CHEMISTRY I,3
CHEM F213,PHYSICAL CHEMISTRY II,3
CHEM F214,INORGANIC CHEMISTRY I,3
CHEM F266,STUDY PROJECT,3
CHEM F311,ORGANIC CHEMISTRY III,3
CHEM F312,PHYSICAL CHEMISTRY IV,3
CHEM F313,INSTRU METHODS OF ANAL,4
CHEM F329,ANALYTICAL CHEMISTRY,4
CHEM F333,CHEMISTRY OF MATERIALS,3
CHEM F337,GREEN CHEM & CATALYSIS,3
CHEM F366,LABORATORY PROJECT,3
CHEM F367,LABORATORY PROJECT,3
CHEM F376,DESIGN PROJECT,3
CHEM F377,DESIGN PROJECT,3
CHEM F491,SPECIAL PROJECTS,3
CS F213,OBJECT ORIENTED PROG,4
CS F214,LOGIC IN COMPUTER SC,3
CS F215,DIGITAL DESIGN,4
CS F222,DISCR STRUC FOR COMP SCI,3
CS F266,STUDY PROJECT,3
CS F301,PRINCIPLES OF PROGG LANG,2
CS F314,SOFTWARE DEVELOPMENT FOR PORTABLE DEVICES,3
CS F342,COMPUTER ARCHITECTURE,4
CS F351,THEORY OF COMPUTATION,3
CS F366,LABORATORY PROJECT,3
CS F367,LABORATORY PROJECT,3
CS F372,OPERATING SYSTEMS,3
CS F376,DESIGN PROJECT,3
CS F377,DESIGN PROJECT,3
CS F415,DATA MINING,3
CS F407,ARTIFICIAL INTELLIGENCE,3
CS F446,DATA STORAGE TECHNOLO & NETWORKS,3
CS F469,INFORMATION RETRIEVAL,3
CS F491,SPECIAL PROJECTS,3
CS G520,ADV DATA MINING,4
CS G525,ADV COMPUTER NETWORKS,5
CS G526,ADV ALGO & COMPLEXITY,5
CS G541,PERVASIVE COMPUTING,4
CS G553,RECONFIG COMPUTING,5
CS G623,ADVANCED OPERAT SYSTEMS,5
DE G531,PRODUCT DESIGN,5
DE G611,DYNAMICS & VIBRATION,5
DE G631,MATERIALS TECH & TESTING,5
ECE F211,ELECTRICAL MACHINES,4
